plotcode,latitude,longitude,year,month,day,time,plot.ID,area,block,block.rep,landuse,n_vs_non.N,Moisture.m3.m3
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,17,00:00:00,13,Makao,3,3,pasture,legume,0.243
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,17,03:00:00,13,Makao,3,3,pasture,legume,0.242
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,17,06:00:00,13,Makao,3,3,pasture,legume,0.242
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,17,09:00:00,13,Makao,3,3,pasture,legume,0.241
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,17,12:00:00,13,Makao,3,3,pasture,legume,0.240
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,17,15:00:00,13,Makao,3,3,pasture,legume,0.240
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,17,18:00:00,13,Makao,3,3,pasture,legume,0.240
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,17,21:00:00,13,Makao,3,3,pasture,legume,0.240
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,18,00:00:00,13,Makao,3,3,pasture,legume,0.239
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,18,03:00:00,13,Makao,3,3,pasture,legume,0.238
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,18,06:00:00,13,Makao,3,3,pasture,legume,0.237
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,18,09:00:00,13,Makao,3,3,pasture,legume,0.237
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,18,12:00:00,13,Makao,3,3,pasture,legume,0.236
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,18,15:00:00,13,Makao,3,3,pasture,legume,0.236
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,18,18:00:00,13,Makao,3,3,pasture,legume,0.237
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,18,21:00:00,13,Makao,3,3,pasture,legume,0.238
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,19,00:00:00,13,Makao,3,3,pasture,legume,0.236
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,19,03:00:00,13,Makao,3,3,pasture,legume,0.236
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,19,06:00:00,13,Makao,3,3,pasture,legume,0.235
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,19,09:00:00,13,Makao,3,3,pasture,legume,0.234
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,19,12:00:00,13,Makao,3,3,pasture,legume,0.234
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,19,15:00:00,13,Makao,3,3,pasture,legume,0.234
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,19,18:00:00,13,Makao,3,3,pasture,legume,0.234
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,19,21:00:00,13,Makao,3,3,pasture,legume,0.234
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,20,00:00:00,13,Makao,3,3,pasture,legume,0.233
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,20,03:00:00,13,Makao,3,3,pasture,legume,0.232
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,20,06:00:00,13,Makao,3,3,pasture,legume,0.231
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,20,09:00:00,13,Makao,3,3,pasture,legume,0.230
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,20,12:00:00,13,Makao,3,3,pasture,legume,0.229
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,20,15:00:00,13,Makao,3,3,pasture,legume,0.230
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,20,18:00:00,13,Makao,3,3,pasture,legume,0.230
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,20,21:00:00,13,Makao,3,3,pasture,legume,0.230
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,21,00:00:00,13,Makao,3,3,pasture,legume,0.229
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,21,03:00:00,13,Makao,3,3,pasture,legume,0.381
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,21,06:00:00,13,Makao,3,3,pasture,legume,0.418
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,21,09:00:00,13,Makao,3,3,pasture,legume,0.397
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,21,12:00:00,13,Makao,3,3,pasture,legume,0.354
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,21,15:00:00,13,Makao,3,3,pasture,legume,0.388
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,21,18:00:00,13,Makao,3,3,pasture,legume,0.383
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,21,21:00:00,13,Makao,3,3,pasture,legume,0.379
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,22,00:00:00,13,Makao,3,3,pasture,legume,0.374
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,22,03:00:00,13,Makao,3,3,pasture,legume,0.369
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,22,06:00:00,13,Makao,3,3,pasture,legume,0.365
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,22,09:00:00,13,Makao,3,3,pasture,legume,0.361
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,22,12:00:00,13,Makao,3,3,pasture,legume,0.356
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,22,15:00:00,13,Makao,3,3,pasture,legume,0.374
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,22,18:00:00,13,Makao,3,3,pasture,legume,0.425
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,22,21:00:00,13,Makao,3,3,pasture,legume,0.423
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,23,00:00:00,13,Makao,3,3,pasture,legume,0.419
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,23,03:00:00,13,Makao,3,3,pasture,legume,0.407
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,23,06:00:00,13,Makao,3,3,pasture,legume,0.402
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,23,09:00:00,13,Makao,3,3,pasture,legume,0.401
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,23,12:00:00,13,Makao,3,3,pasture,legume,0.419
