site,protect,area,landuse,block,date,month,year,wild_broswer,wild_grazer,live_broswer,live_grazer,distance_pa_boundary.km,rain.region,total_dung,livgrazer_prop
29,PA,SNP,wild,29,10/03/2018,3,2018,3,2,0,0,0.58,wet,5,0
30,PA,SNP,wild,30,10/03/2018,3,2018,2,7,0,0,0.81,wet,9,0
31,PA,SNP,wild,31,10/03/2018,3,2018,2,3,0,0,0.61,wet,5,0
32,PA,SNP,wild,32,10/03/2018,3,2018,1,4,0,0,0.24,wet,5,0
1,UP,Makao,pasture,1,30/04/2018,4,2018,0,0,0,0,-3.36,dry,0,
2,UP,Makao,pasture,2,30/04/2018,4,2018,0,0,10,15,-3.78,dry,25,0.6
3,UP,Makao,pasture,3,30/04/2018,4,2018,0,0,7,10,-3.51,dry,17,0.588235294
5,PA,MakaoWMA,wild,5,30/04/2018,4,2018,2,0,0,0,0.52,dry ,2,0
6,PA,MakaoWMA,wild,6,30/04/2018,4,2018,5,0,0,0,0.49,dry ,5,0
7,PA,MakaoWMA,wild,7,30/04/2018,4,2018,0,0,0,0,0.67,dry ,0,
8,PA,MakaoWMA,wild,8,30/04/2018,4,2018,3,0,0,0,0.38,dry ,3,0
10,PA,Maswa,illegal,10,21/04/2018,4,2018,0,0,0,0,1.03,dry,0,
11,PA,Maswa,illegal,11,21/04/2018,4,2018,0,0,0,0,1.14,dry,0,
13,PA,Maswa,wild,13,21/04/2018,4,2018,2,0,0,0,9.16,dry,2,0
14,PA,Maswa,wild,14,21/04/2018,4,2018,1,0,0,0,9.09,dry,1,0
15,PA,Maswa,wild,15,21/04/2018,4,2018,0,0,0,0,8.82,dry,0,
16,PA,Maswa,wild,16,21/04/2018,4,2018,1,0,0,0,8.54,dry,1,0
21,UP,Mwantimba,pasture,21,10/04/2018,4,2018,0,0,2,5,-5.1,wet,7,0.714285714
22,UP,Mwantimba,pasture,22,10/04/2018,4,2018,0,0,1,2,-4.92,wet,3,0.666666667
23,UP,Mwantimba,pasture,23,10/04/2018,4,2018,0,0,1,2,-5.95,wet,3,0.666666667
24,UP,Mwantimba,pasture,24,10/04/2018,4,2018,0,0,2,4,-5.93,wet,6,0.666666667
29,PA,SNP,wild,29,01/04/2018,4,2018,0,3,0,0,0.58,wet,3,0
30,PA,SNP,wild,30,01/04/2018,4,2018,2,0,0,0,0.81,wet,2,0
31,PA,SNP,wild,31,01/04/2018,4,2018,1,0,0,0,0.61,wet,1,0
32,PA,SNP,wild,32,01/04/2018,4,2018,1,3,0,0,0.24,wet,4,0
1,UP,Makao,pasture,1,24/05/2018,5,2018,2,0,0,5,-3.36,dry,7,0.714285714
2,UP,Makao,pasture,2,24/05/2018,5,2018,0,0,4,13,-3.78,dry,17,0.764705882
3,UP,Makao,pasture,3,24/05/2018,5,2018,0,0,7,17,-3.51,dry,24,0.708333333
5,PA,MakaoWMA,wild,5,24/05/2018,5,2018,0,5,0,0,0.52,dry ,5,0
6,PA,MakaoWMA,wild,6,24/05/2018,5,2018,0,10,0,0,0.49,dry ,10,0
7,PA,MakaoWMA,wild,7,24/05/2018,5,2018,0,0,0,0,0.67,dry ,0,
8,PA,MakaoWMA,wild,8,24/05/2018,5,2018,0,4,0,0,0.38,dry ,4,0
10,PA,Maswa,illegal,10,25/05/2018,5,2018,2,5,0,0,1.03,dry,7,0
11,PA,Maswa,illegal,11,25/05/2018,5,2018,0,3,0,0,1.14,dry,3,0
13,PA,Maswa,wild,13,25/05/2018,5,2018,0,5,0,0,9.16,dry,5,0
14,PA,Maswa,wild,14,25/05/2018,5,2018,8,0,0,0,9.09,dry,8,0
15,PA,Maswa,wild,15,25/05/2018,5,2018,9,3,0,0,8.82,dry,12,0
16,PA,Maswa,wild,16,25/05/2018,5,2018,2,4,0,0,8.54,dry,6,0
21,UP,Mwantimba,pasture,21,21/05/2018,5,2018,0,0,2,1,-5.1,wet,3,0.333333333
22,UP,Mwantimba,pasture,22,21/05/2018,5,2018,0,0,1,2,-4.92,wet,3,0.666666667
23,UP,Mwantimba,pasture,23,21/05/2018,5,2018,0,0,3,1,-5.95,wet,4,0.25
24,UP,Mwantimba,pasture,24,21/05/2018,5,2018,0,0,2,4,-5.93,wet,6,0.666666667
29,PA,SNP,wild,29,22/05/2018,5,2018,0,2,0,0,0.58,wet,2,0
30,PA,SNP,wild,30,22/05/2018,5,2018,0,1,0,0,0.81,wet,1,0
31,PA,SNP,wild,31,22/05/2018,5,2018,1,2,0,0,0.61,wet,3,0
32,PA,SNP,wild,32,22/05/2018,5,2018,2,1,0,0,0.24,wet,3,0
