"","Block.ID","Region.x","Vilde.block","landuse","MAP.mm_yr","Last.fire_yr","Fire_frequency.2000_2017","Clay.pip.per","Silt.pip.per","Sand.pip.per","Class","mean.N.kg_m2.x","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","Shrubbiness","Small.N","Small.N.non","Large.N","Large.N.non","BM.Large.N.m2","BM.Large.non.m2","BM.Small.N.m2","BM.Small.non.m2","Carbon.pool","C.amount","SE.C.amount","mean.N.kg_m2"
"96",14,"Handajega",2,"Wild",1279.26,2014,4,21.49,16.46,62.05,"SaClLo",NA,0.1092205,0.2997013458724,0.0016,2.85827136086236,8,1,1,NA,1.1255836,NA,0.0045110726772,0.00040752731,"SoilAC.kg_m2",1.5125,0.179368103816333,0.15125
"97",14,"Handajega",2,"Wild",1279.26,2014,4,21.49,16.46,62.05,"SaClLo",NA,0.1092205,0.2997013458724,0.0016,2.85827136086236,8,1,1,NA,1.1255836,NA,0.0045110726772,0.00040752731,"SoilMC.kg_m2",2.165,0.14343988287781,0.15125
"98",14,"Handajega",2,"Wild",1279.26,2014,4,21.49,16.46,62.05,"SaClLo",NA,0.1092205,0.2997013458724,0.0016,2.85827136086236,8,1,1,NA,1.1255836,NA,0.0045110726772,0.00040752731,"DWC.kg_m2",0.23225,0.04235,0.15125
"29",15,"Handajega",3,"Wild",1279.262855,2014,9,21.17,19.17,59.67,"SaClLo",0.1425,0.1478292,0.3602870672844,0.0068,16.6859982954271,1,1,NA,2,NA,0.072576550732,0.0004662031012,0.0004387635884,"TreeC.kg_m2",0.1801435336404,NA,NA
"30",15,"Handajega",3,"Wild",1279.262855,2014,9,21.17,19.17,59.67,"SaClLo",0.1425,0.1478292,0.3602870672844,0.0068,16.6859982954271,1,1,NA,2,NA,0.072576550732,0.0004662031012,0.0004387635884,"HerbC.kg_m2",0.0167,NA,NA
"99",15,"Handajega",3,"Wild",1279.26,2014,9,21.17,19.17,59.67,"SaClLo",NA,0.1478292,0.3602870672844,0.0068,16.6859982954271,1,1,NA,2,NA,0.072576550732,0.0004662031012,0.0004387635884,"SoilAC.kg_m2",1.43,0.0744983221287567,0.1425
"100",15,"Handajega",3,"Wild",1279.26,2014,9,21.17,19.17,59.67,"SaClLo",NA,0.1478292,0.3602870672844,0.0068,16.6859982954271,1,1,NA,2,NA,0.072576550732,0.0004662031012,0.0004387635884,"SoilMC.kg_m2",2.2175,0.167450241365408,0.1425
"101",15,"Handajega",3,"Wild",1279.26,2014,9,21.17,19.17,59.67,"SaClLo",NA,0.1478292,0.3602870672844,0.0068,16.6859982954271,1,1,NA,2,NA,0.072576550732,0.0004662031012,0.0004387635884,"DWC.kg_m2",0.00605,0.0022599778759979,0.1425
"31",16,"Handajega",4,"Wild",1279.262855,2016,13,24.44,19.99,55.57,"SaClLo",0.19,0.3488504,1.1305021999872,0.004,6.94216986177304,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,"TreeC.kg_m2",0.565251099994,NA,NA
"32",16,"Handajega",4,"Wild",1279.262855,2016,13,24.44,19.99,55.57,"SaClLo",0.19,0.3488504,1.1305021999872,0.004,6.94216986177304,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,"HerbC.kg_m2",0.0389,NA,NA
"102",16,"Handajega",4,"Wild",1279.26,2016,13,24.44,19.99,55.57,"SaClLo",NA,0.3488504,1.1305021999872,0.004,6.94216986177304,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,"SoilAC.kg_m2",1.3475,0.218646404040862,0.19
"103",16,"Handajega",4,"Wild",1279.26,2016,13,24.44,19.99,55.57,"SaClLo",NA,0.3488504,1.1305021999872,0.004,6.94216986177304,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,"SoilMC.kg_m2",2.82,0.17832554500127,0.19
"104",16,"Handajega",4,"Wild",1279.26,2016,13,24.44,19.99,55.57,"SaClLo",NA,0.3488504,1.1305021999872,0.004,6.94216986177304,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,"DWC.kg_m2",0.00305,0.00223401730819914,0.19
"33",17,"Seronera",1,"Wild",855.6199048,2016,4,28.22,18.19,53.59,"SaClLo",0.17875,8.2e-06,0.0007551682584,0.0012,4.66816579935673,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,"TreeC.kg_m2",0.0003775841292,NA,NA
"34",17,"Seronera",1,"Wild",855.6199048,2016,4,28.22,18.19,53.59,"SaClLo",0.17875,8.2e-06,0.0007551682584,0.0012,4.66816579935673,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,"HerbC.kg_m2",0.0417,NA,NA
"105",17,"Seronera",1,"Wild",855.62,2016,4,28.22,18.19,53.59,"SaClLo",NA,8.2e-06,0.0007551682584,0.0012,4.66816579935673,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,"SoilAC.kg_m2",0.82,0.116690473761429,0.17875
"106",17,"Seronera",1,"Wild",855.62,2016,4,28.22,18.19,53.59,"SaClLo",NA,8.2e-06,0.0007551682584,0.0012,4.66816579935673,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,"SoilMC.kg_m2",2.4425,0.314414137722845,0.17875
"107",17,"Seronera",1,"Wild",855.62,2016,4,28.22,18.19,53.59,"SaClLo",NA,8.2e-06,0.0007551682584,0.0012,4.66816579935673,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,"DWC.kg_m2",0.0037,0.0024,0.17875
"35",18,"Seronera",2,"Wild",855.6199048,2016,4,17.83,18.83,63.33,"SaLo",0.1775,0.0536215,0.120091155416,0.0012,0.0217679076402307,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,"TreeC.kg_m2",0.060045577724,NA,NA
"36",18,"Seronera",2,"Wild",855.6199048,2016,4,17.83,18.83,63.33,"SaLo",0.1775,0.0536215,0.120091155416,0.0012,0.0217679076402307,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,"HerbC.kg_m2",0.0264,NA,NA
"108",18,"Seronera",2,"Wild",855.62,2016,4,17.83,18.83,63.33,"SaLo",NA,0.0536215,0.120091155416,0.0012,0.0217679076402307,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,"SoilAC.kg_m2",1.0025,0.106878045765567,0.1775
"109",18,"Seronera",2,"Wild",855.62,2016,4,17.83,18.83,63.33,"SaLo",NA,0.0536215,0.120091155416,0.0012,0.0217679076402307,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,"SoilMC.kg_m2",2.2675,0.33956773992828,0.1775
"110",18,"Seronera",2,"Wild",855.62,2016,4,17.83,18.83,63.33,"SaLo",NA,0.0536215,0.120091155416,0.0012,0.0217679076402307,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,"DWC.kg_m2",0.003675,0.000576447453517375,0.1775
"37",19,"Seronera",3,"Wild",855.6199048,2016,6,18.95,16.6,64.45,"SaLo",0.20625,1.25e-05,0.000618228484,8e-04,2.58803992602838,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,"TreeC.kg_m2",0.000309114242,NA,NA
"38",19,"Seronera",3,"Wild",855.6199048,2016,6,18.95,16.6,64.45,"SaLo",0.20625,1.25e-05,0.000618228484,8e-04,2.58803992602838,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,"HerbC.kg_m2",0.0194,NA,NA
"111",19,"Seronera",3,"Wild",855.62,2016,6,18.95,16.6,64.45,"SaLo",NA,1.25e-05,0.000618228484,8e-04,2.58803992602838,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,"SoilAC.kg_m2",1.0025,0.0936638493051971,0.20625
