site,plot,area,landuse,Stu_block,Block,sub_vs_inter,n_vs_non.N,excl_vs_open,wp,soil_ depth.cm,soil_wet_wt.g,soil_dry_wt.g,soil_water_content.g,core_vol.cm3,bulk_density_cm3,Soil.sub.sample.g,Oven.dry.sub.g,Soil.moist.per,If 1 - need soil,if 1 have roots,Stone.plus.bag.g,Bag.wt.g,Stone.wt.g,Volume.cm3,core_vol.cm3stones.adj,bulk_density_g.cm3,Roots.mg.g1soil,,Bulk.kg.m3,Roots kg.kg,Roots.kg.m2,
22,132,Mwantimba,pasture,2,4,I,,Open,489,12,234.96,222.31,12.65,166.253,1.337,18.173,17.252,5.06795796,0,1,4.14,0.71,3.43,1,165.253,1.256336785,0.564670789,1,188.4505177,0.000564671,0.106412502,
23,133,Mwantimba,pasture,3,3,S,N,Excl,391,11,201.74,193.79,7.95,152.399,1.272,21.28,19.851,6.715225564,0,1,3.16,0.7,2.46,1,151.399,1.17779222,2.056700348,1,176.6688331,0.0020567,0.36335485,
23,134,Mwantimba,pasture,3,3,S,N,Open,392,13.2,269.93,258.93,11,182.878,1.416,21.648,20.007,7.58037694,0,0,4.7,0.72,3.98,1,181.878,1.29384604,,0,194.0769059,0,0,
23,135,Mwantimba,pasture,3,3,S,non,Excl,389,12,197.97,189.46,8.51,166.253,1.14,20.369,19.441,4.555942854,0,1,12.85,0.74,12.11,14,152.253,1.108144409,0.722759773,1,166.2216613,0.00072276,0.12013833,
23,136,Mwantimba,pasture,3,3,S,non,Open,390,13.4,197.58,191.45,6.13,185.649,1.031,18.831,17.425,7.466411768,0,1,14.88,0.75,14.13,7,178.649,0.912546696,6.150457818,1,136.8820044,0.006150458,0.841886994,
23,137,Mwantimba,pasture,3,3,I,,Excl,393,14,206.3,197.97,8.33,193.962,1.021,17.301,16.307,5.74533264,0,1,8.32,0.72,7.6,4,189.962,0.942272481,0.601004372,1,141.3408721,0.000601004,0.084946482,
23,138,Mwantimba,pasture,3,3,I,,Open,394,12.9,230.98,218.73,12.25,178.722,1.224,15.975,14.991,6.159624413,0,1,13.48,0,13.48,7,171.722,1.11678791,11.84208823,1,167.5181865,0.011842088,1.983765145,
24,139,Mwantimba,pasture,4,2,S,N,Excl,397,13.6,253.49,243.18,10.31,188.42,1.291,14.533,13.157,9.468107067,0,1,1.76,0,1.76,0.9,187.52,1.164651542,6.237126172,1,174.6977314,0.006237126,1.089611793,
24,140,Mwantimba,pasture,4,2,S,N,Open,398,12.5,244.15,232.09,12.06,173.18,1.34,17.073,15.608,8.580800094,0,1,1.834,0.71,1.124,1,172.18,1.225756889,3.761998828,1,183.8635333,0.003761999,0.691694397,
24,141,Mwantimba,pasture,4,2,S,non,Excl,395,16,234.54,222.75,11.79,221.671,1.005,16.984,15.285,10.00353274,0,1,2.19,0.71,1.48,1,220.671,0.901736661,4.69493293,1,135.2604992,0.004694933,0.635038972,
24,142,Mwantimba,pasture,4,2,S,non,Open,396,14,227.02,211.28,15.74,193.962,1.089,20.723,18.651,9.998552333,0,1,3.62,0.71,2.91,1,192.962,0.970372709,3.726270267,1,145.5559063,0.00372627,0.542380646,
24,143,Mwantimba,pasture,4,2,I,,Excl,399,9,56.47,54.46,2.01,124.69,0.437,16.305,15.346,5.881631401,0,1,0,0,0,0,124.69,0.411074373,0.200401162,1,61.66115591,0.000200401,0.012356967,
24,144,Mwantimba,pasture,4,2,I,,Open,400,13.5,253.24,243.41,9.83,187.035,1.301,20.724,20.281,2.13761822,0,1,3.94,0.72,3.22,5,182.035,1.290888145,1.031714605,1,193.6332218,0.001031715,0.199774223,
29,169,Handajega,wild,1,3,S,N,Excl,418,15,235.94,230,5.94,207.816,1.107,22.076,21.504,2.591049103,0,1,2.46,0,2.46,1,206.816,1.071389965,0.709252327,1,160.7084948,0.000709252,0.113982874,
29,170,Handajega,wild,1,3,S,N,Open,419,14.5,259.51,253.73,5.78,200.889,1.263,15.328,14.696,4.123173278,0,1,3.76,0.71,3.05,1,199.889,1.201758338,0.972962926,1,180.2637507,0.000972963,0.175389946,
29,171,Handajega,wild,1,3,S,non,Excl,416,10.6,215.01,209.62,5.39,146.857,1.427,17.438,16.777,3.790572313,0,1,7.87,0.71,7.16,3,143.857,1.352135818,0.650535251,1,202.8203726,0.000650535,0.131941802,
29,172,Handajega,wild,1,3,S,non,Open,417,13.7,267.78,264.94,2.84,189.806,1.396,15.175,14.584,3.894563427,0,1,5.18,0.73,4.45,1,188.806,1.325020093,0.389755003,1,198.7530139,0.000389755,0.077464982,
29,173,Handajega,wild,1,3,I,,Excl,421,14.2,246.43,246.57,-0.14,196.733,1.253,16.629,15.977,3.920861146,0,1,4.9,0.71,4.19,2,194.733,1.195032854,4.249646997,1,179.254928,0.004249647,0.761770167,
29,174,Handajega,wild,1,3,I,,Open,420,11,239.45,234.78,4.67,152.399,1.541,21.668,21.118,2.538305335,0,1,4.35,0.72,3.63,2,150.399,1.49728766,5.636671704,1,224.593149,0.005636672,1.265957848,
30,175,Handajega,wild,2,4,S,N,Excl,422,14,257.45,252.28,5.17,193.962,1.301,25.239,24.332,3.593644756,0,1,4.02,0.69,3.33,2,191.962,1.249642914,1.274213637,1,187.4464371,0.001274214,0.238846806,
30,176,Handajega,wild,2,4,S,N,Open,423,13.5,242.65,217.75,24.9,187.035,1.164,16.128,15.286,5.220734127,0,1,3.01,0.73,2.28,1,186.035,1.097115335,0.875621169,1,164.5673003,0.000875621,0.144098612,
