ID,Region, Site,Block,Block.ID, Circle,WP,Date_time ,Latitude_S,Longitude_E,Debris_type,Length.cm,Diameter.cm,Volume.cm3,Mass.g,Mass.kg,Carbon.g,Carbon.kg,Carbon.kg_m2,dc,,,
86,Mwantimba,3,3,11,3,47,13/12/2017 14:11,2 22.069,34 03.559,FDW,,,,,,,,,,,,
88,Mwantimba,3,3,11,4,48,13/12/2017 14:21,2 22.058,34 03.564,FDW,,,,,,,,,,,,
90,Mwantimba,3,4,12,1,41,13/12/2017 12:49,2 22.051,34 03.624,FDW,,,,,,,,,,,,
92,Mwantimba,3,4,12,2,42,13/12/2017 13:07,2 22.061,34 03.624,FDW,,,,,,,,,,,,
94,Mwantimba,3,4,12,3,43,13/12/2017 13:15,2 22.050,34 03.628,FDW,,,,,,,,,,,,
96,Mwantimba,3,4,12,4,44,13/12/2017 13:29,2 22.056,34 03.637,FDW,,,,,,,,,,,,
98,Handajega,4,1,13,1,50,14/12/2017 09:23,2 16.374,34 01.399,FDW,,,,,,,,,,,,
101,Handajega,4,1,13,2,51,14/12/2017 09:51,2 16.372,34 01.386,FDW,18.30,2.30,75.99,44.0762,0.0441,22.0381,0.0220,0.0011,2.00,,,
104,Handajega,4,1,13,3,52,14/12/2017 09:52,2 16.373,34 01.384,FDW,,,,,,,,,,,,
107,Handajega,4,1,13,4,53,14/12/2017 09:54,2 16.365,34 01.391,FDW,64.00,2.00,200.96,116.5568,0.1166,58.2784,0.0583,0.0030,2.00,,,
110,Handajega,4,2,14,1,54,14/12/2017 10:46,2 16.698,34 01.462,FDW,,,,,,,,,,,,
113,Handajega,4,2,14,2,55,14/12/2017 11:04,2 16.701,34 01.459,FDW,,,,,,,,,,,,
116,Handajega,4,2,14,3,56,14/12/2017 11:05,2 16.708,34 01.459,FDW,,,,,,,,,,,,
119,Handajega,4,2,14,4,57,14/12/2017 11:17,2 16.698,34 01.460,FDW,,,,,,,,,,,,
122,Handajega,4,3,15,1,58,14/12/2017 12:08,2 16.663,34 01.661,FDW,,,,,,,,,,,,
125,Handajega,4,3,15,2,59,14/12/2017 12:22,2 16.671,34 01.662,FDW,,,,,,,,,,,,
128,Handajega,4,3,15,3,60,14/12/2017 12:31,2 16.675,34 01.665,FDW,,,,,,,,,,,,
131,Handajega,4,3,15,4,61,14/12/2017 12:39,2 16.672,34 01.668,FDW,,,,,,,,,,,,
134,Handajega,4,4,16,1,62,14/12/2017 13:26,2 16.717,34 01.922,FDW,,,,,,,,,,,,
136,Handajega,4,4,16,2,63,14/12/2017 13:33,2 16.714,34 01.931,FDW,,,,,,,,,,,,
137,Handajega,4,4,16,3,64,14/12/2017 13:46,2 16.733,34 01.930,FDW,42.00,2.10,145.40,37.8034,0.0378,18.9017,0.0189,0.0010,4.00,,,
137,Handajega,4,4,16,3,64,14/12/2017 13:46,2 16.733,34 01.930,FDW,44.00,3.00,310.86,80.8236,0.0808,40.4118,0.0404,0.0021,4.00,,,
137,Handajega,4,4,16,3,64,14/12/2017 13:46,2 16.733,34 01.930,FDW,31.00,3.40,281.31,73.1413,0.0731,36.5706,0.0366,0.0019,4.00,,,
138,Handajega,4,4,16,3,64,14/12/2017 13:46,2 16.733,34 01.930,FDW,38.00,2.50,186.44,48.4738,0.0485,24.2369,0.0242,0.0012,4.00,,,
138,Handajega,4,4,16,3,64,14/12/2017 13:46,2 16.733,34 01.930,FDW,38.70,2.00,121.52,31.5947,0.0316,15.7973,0.0158,0.0008,4.00,,,
139,Handajega,4,4,16,4,65,14/12/2017 13:55,2 16.720,34 01.934,FDW,44.00,2.00,138.16,35.9216,0.0359,17.9608,0.0180,0.0009,4.00,,,
141,Seronera,5,1,17,1,66,15/12/2017 15:16,2 26.281,34 51.312,FDW,,,,,,,,,,,,
144,Seronera,5,1,17,2,67,15/12/2017 15:31,2 26.275,34 51.322,FDW,,,,,,,,,,,,
145,Seronera,5,1,17,3,68,15/12/2017 15:41,2 26.268,34 51.317,FDW,,,,,,,,,,,,
148,Seronera,5,1,17,4,69,15/12/2017 15:55,2 26.275,34 51.320,FDW,,,,,,,,,,,,
149,Seronera,5,2,18,1,70,16/12/2017 09:14,2 26.355,34 50.305,FDW,,,,,,,,,,,,
152,Seronera,5,2,18,2,71,16/12/2017 09:35,2 26.359,34 50.311,FDW,,,,,,,,,,,,
155,Seronera,5,2,18,3,72,16/12/2017 09:59,2 26.361,34 50.311,FDW,,,,,,,,,,,,
156,Seronera,5,2,18,4,73,16/12/2017 10:23,2 26.365,34 50.307,FDW,,,,,,,,,,,,
159,Seronera,5,3,19,1,74,16/12/2017 10:43,2 26.296,34 50.203,FDW,,,,,,,,,,,,
160,Seronera,5,3,19,2,75,16/12/2017 10:59,2 26.286,34 50.206,FDW,,,,,,,,,,,,
163,Seronera,5,3,19,3,76,16/12/2017 11:19,2 26.299,34 50.193,FDW,,,,,,,,,,,,
164,Seronera,5,3,19,4,77,16/12/2017 11:25,2 26.291,34 50.197,FDW,,,,,,,,,,,,
167,Seronera,5,4,20,1,78,16/12/2017 11:57,2 26.087,34 50.042,FDW,,,,,,,,,,,,
169,Seronera,5,4,20,2,79,16/12/2017 12:26,2 26.080,34 50.050,FDW,,,,,,,,,,,,
172,Seronera,5,4,20,3,80,16/12/2017 12:26,2 26.091,34 50.037,FDW,,,,,,,,,,,,
175,Seronera,5,4,20,4,81,16/12/2017 12:37,2 26.086,34 50.033,FDW,,,,,,,,,,,,
178,Park Nyigoti,6,1,21,1,82,17/12/2017 08:36,2 01.101,34 39.382,FDW,14.50,2.20,55.09,8.8146,0.0088,4.4073,0.0044,0.0002,5.00,,,
179,Park Nyigoti,6,1,21,2,83,17/12/2017 08:49,2 01.111,34 39.384,FDW,,,,,,,,,,,,
181,Park Nyigoti,6,1,21,3,84,17/12/2017 08:59,2 01.112,34 39.388,FDW,22.00,2.00,69.08,11.0528,0.0111,5.5264,0.0055,0.0003,5.00,,,
181,Park Nyigoti,6,1,21,3,84,17/12/2017 08:59,2 01.112,34 39.388,FDW,19.00,1.50,33.56,5.3694,0.0054,2.6847,0.0027,0.0001,5.00,,,
182,Park Nyigoti,6,1,21,3,84,17/12/2017 08:59,2 01.112,34 39.388,FDW,17.50,2.50,85.86,13.7375,0.0137,6.8688,0.0069,0.0003,5.00,,,
182,Park Nyigoti,6,1,21,3,84,17/12/2017 08:59,2 01.112,34 39.388,FDW,52.00,2.50,255.13,40.8200,0.0408,20.4100,0.0204,0.0010,5.00,,,
183,Park Nyigoti,6,1,21,4,85,17/12/2017 09:13,2 01.111,34 39.379,FDW,,,,,,,,,,,,
185,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,65.00,6.00,1836.90,293.9040,0.2939,146.9520,0.1470,0.0075,5.00,,,
185,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,24.00,3.00,169.56,27.1296,0.0271,13.5648,0.0136,0.0007,5.00,,,
185,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,10.00,3.00,70.65,11.3040,0.0113,5.6520,0.0057,0.0003,5.00,,,
185,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,38.00,4.00,477.28,76.3648,0.0764,38.1824,0.0382,0.0019,5.00,,,
185,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,60.00,3.00,423.90,67.8240,0.0678,33.9120,0.0339,0.0017,5.00,,,
185,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,31.00,3.00,219.02,35.0424,0.0350,17.5212,0.0175,0.0009,5.00,,,
186,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,35.00,1.50,61.82,9.8910,0.0099,4.9455,0.0049,0.0003,5.00,,,
186,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,29.00,4.00,364.24,58.2784,0.0583,29.1392,0.0291,0.0015,5.00,,,
186,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,33.00,4.00,414.48,66.3168,0.0663,33.1584,0.0332,0.0017,5.00,,,
186,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,23.00,2.50,112.84,18.0550,0.0181,9.0275,0.0090,0.0005,5.00,,,
186,Park Nyigoti,6,2,22,1,86,17/12/2017 09:47,2 01.498,34 39.169,FDW,14.50,3.00,102.44,16.3908,0.0164,8.1954,0.0082,0.0004,5.00,,,
187,Park Nyigoti,6,2,22,2,87,17/12/2017 10:01,2 01.491,34 39.174,FDW,30.00,2.50,147.19,85.3688,0.0854,42.6844,0.0427,0.0022,2.00,,,
189,Park Nyigoti,6,2,22,3,88,17/12/2017 10:10,2 01.496,34 39.178,FDW,,,,,,,,,,,,
192,Park Nyigoti,6,2,22,4,89,17/12/2017 10:19,2 01.488,34 39.178,FDW,,,,,,,,,,,,
193,Park Nyigoti,6,3,23,1,90,17/12/2017 10:58,2 01.952,34 39.136,FDW,11.00,2.50,53.97,14.0319,0.0140,7.0159,0.0070,0.0004,3.00,,,
193,Park Nyigoti,6,3,23,1,90,17/12/2017 10:58,2 01.952,34 39.136,FDW,62.00,3.00,438.03,70.0848,0.0701,35.0424,0.0350,0.0018,5.00,,,
193,Park Nyigoti,6,3,23,1,90,17/12/2017 10:58,2 01.952,34 39.136,FDW,57.00,1.50,100.68,16.1082,0.0161,8.0541,0.0081,0.0004,5.00,,,
194,Park Nyigoti,6,3,23,1,90,17/12/2017 10:58,2 01.952,34 39.136,FDW,18.00,2.00,56.52,14.6952,0.0147,7.3476,0.0073,0.0004,3.00,,,
194,Park Nyigoti,6,3,23,1,90,17/12/2017 10:58,2 01.952,34 39.136,FDW,109.00,1.00,85.57,22.2469,0.0222,11.1235,0.0111,0.0006,3.00,,,
195,Park Nyigoti,6,3,23,2,91,17/12/2017 11:10,2 01.945,34 39.138,FDW,33.00,3.00,233.15,37.3032,0.0373,18.6516,0.0187,0.0009,5.00,,,
196,Park Nyigoti,6,3,23,2,91,17/12/2017 11:10,2 01.945,34 39.138,FDW,33.00,4.00,414.48,66.3168,0.0663,33.1584,0.0332,0.0017,5.00,,,
197,Park Nyigoti,6,3,23,3,92,17/12/2017 11:23,2 01.946,34 39.135,FDW,20.00,3.00,141.30,81.9540,0.0820,40.9770,0.0410,0.0021,2.00,,,
200,Park Nyigoti,6,3,23,4,93,17/12/2017 11:36,2 01.953,34 39.138,FDW,,,,,,,,,,,,
201,Park Nyigoti,6,4,24,1,94,17/12/2017 12:02,2 02.297,34 39.121,FDW,33.00,2.00,103.62,16.5792,0.0166,8.2896,0.0083,0.0004,5.00,,,
202,Park Nyigoti,6,4,24,1,94,17/12/2017 12:02,2 02.297,34 39.121,FDW,169.00,9.00,10745.87,6232.6017,6.2326,3116.3009,3.1163,0.1587,2.00,,,
