Current placement of the turf,Placement,Source ID ,Tagsp,InitialVegH,InitialVegCover (%),InitialTagSpcover,FinalVegCover,FinalTagspCover,FinalVegH,Average H outside,Themeda triandra (%) ,Digitaria macroblephara (%),Crysochloa orientalis (%) ,Chloris pycnothris (%),Cynodon dactylon
CG_DRY_P_3_1,DRY_P,SE_3_EX_4,Dig mac,3.3,25,19,25,0,32,35,3,19,0,0,0
SE_3_EX_5,SE_3_,SE_3_EX_5,Dig mac,2.7,45,16,90,5,64,101,0,16,0,0,0
CG_WET_W_3_2,WET_W,SE_3_OP_1,Dig mac,2.6,40,30,15,5,9,36,0,30,0,0,10
CG_WET_P_3_2,WET_P,SE_3_OP_2,Dig mac,3.0,30,18,,,,,0,18,0,0,10
CG_DRY_W_3_2,DRY_W,SE_3_OP_3,Dig mac,2.3,35,16,5,2,6,1,16,16,0,0,0
CG_DRY_P_3_2,DRY_P,SE_3_OP_4,Dig mac,2.5,35,10,95,0,38,45,10,10,0,0,0
SE_3_OP_5,SE_OP,SE_3_OP_5,Dig mac,2.6,25,12,98,0,52,81,0,12,0,0,5
CG_WET_W_4_1,WET_W,SE_4_EX_1,Dig mac,3.0,32,22,45,0,19,83,10,22,0,0,0
CG_WET_P_4_1,WET_P,SE_4_EX_2,Dig mac,2.5,45,45,,,,,0,45,0,0,0
CG_DRY_W_4_1,DRY_W,SE_4_EX_3,Dig mac,1.7,6,5,10,0,1,1,0,5,0,0,0
CG_DRY_P_4_1,DRY_P,SE_4_EX_4,Dig mac,2.7,10,7,56,30,12,32,0,7,0,0,0
SE_4_EX_5,SE_EX,SE_4_EX_5,Dig mac,2.0,25,25,95,60,79,86,0,25,0,0,0
CG_WET_W_4_2,WET_W,SE_4_OP_1,Dig mac,2.2,15,12,70,0,53,72,0,12,0,0,0
CG_WET_P_4_2,WET_P,SE_4_OP_2,Dig mac,2.3,35,11,,,,,12,11,0,0,0
CG_DRY_W_4_2,DRY_W,SE_4_OP_3,Dig mac,2.5,20,14,15,12,2,5,0,14,0,0,0
CG_DRY_P_4_2,DRY_P,SE_4_OP_4,Dig mac,3.3,30,24,30,10,9,27,3,24,0,0,0
SE_4_OP_5,SE_OP,SE_4_OP_5,Dig mac,2.0,15,6,80,0,54,98,6,6,0,0,0
WET_P_2_2,WET_P,WET_P_1_1,Chr ori,1.4,20,9,90,80,21,41,0,0,9,0,0
WET_W_1_2,WET_W,WET_P_1_2,Chr ori,1.3,15,5,10,0,25,66,0,0,5,5,0
DRY_W_1_2,DRY_W,WET_P_1_3,Chr ori,2.7,25,23,10,0,7,51,0,0,23,0,0
DRY_P_1_2,DRY_P,WET_P_1_4,Chr ori,2.9,15,12,25,0,12,28,0,0,12,0,0
WET_P_1_5,WET_P,WET_P_1_5,Chr ori,2.1,25,22,97,55,5,4,0,0,22,0,0
WET_W_2_2,WET_W,WET_P_2_1,Chr ori,1.7,10,8,35,2,17,58,0,0,8,0,0
WET_P_1_2,WET_P,WET_P_2_2,Chr ori,1.3,15,6,90,8,4,4,0,0,6,6,0
DRY_W_2_2,DRY_W,WET_P_2_3,Chr ori,1.5,25,22,,,,,0,0,22,1,0
DRY_P_2_2,DRY_P,WET_P_2_4,Chr ori,1.7,10,7,5,0,7,18,0,0,7,1,0
WET_P_2_5,WET_P,WET_P_2_5,Chr ori,1.6,25,10,80,70,14,39,0,0,10,12,0
WET_W_3_2,WET_W,WET_P_3_1,Chr ori,1.5,45,40,3,0,3,34,0,0,40,5,0
WET_P_4_2,WET_P,WET_P_3_2,Chr ori,1.8,50,42,85,0,21,49,0,0,42,7,0
DRY_W_3_2,DRY_W,WET_P_3_3,Chr ori,,55,44,0,0,0,2,0,0,44,10,0
DRY_P_3_2,DRY_P,WET_P_3_4,Chr ori,,50,25,90,0,43,42,0,0,25,25,0
WET_P_3_5,WET_P,WET_P_3_5,Chr ori,1.3,40,30,75,45,17,32,0,0,30,10,0
WET_W_4_2,WET_W,WET_P_4_1,Chr ori,2.5,15,12,2,0,12,97,0,0,12,3,0
WET_P_4_4,WET_P,WET_P_4_2,Chr ori,2.8,25,20,,,,,0,0,20,5,0
DRY_W_4_2,DRY_W,WET_P_4_3,Chr ori,3.1,10,9,10,0,0,2,0,0,9,1,0
DRY_P_4_2,DRY_P,WET_P_4_4,Chr ori,2.0,40,31,45,0,12,21,0,0,31,8,0
WET_P_4_5,WET_P,WET_P_4_5,Chr ori,1.7,40,33,,,,,0,0,33,7,0
WET_W_2_1,WET_W,WET_W_1_1,The tri,6.0,55,53,70,5,46,85,53,2,0,0,0
WET_P_1_1,WET_P,WET_W_1_2,The tri,4.5,50,47,95,85,4,10,47,0,0,0,0
DRY_W_1_1,DRY_W,WET_W_1_3,The tri,4.7,45,45,25,3,13,18,45,0,0,0,0
DRY_P_1_1,DRY_P,WET_W_1_4,The tri,6.0,55,55,30,10,17,34,55,0,0,0,0
WET_W_1_5,WET_W,WET_W_1_5,The tri,4.3,75,75,85,85,59,79,75,0,0,0,0
WET_W_1_1,WET_W,WET_W_2_1,The tri,6.7,50,25,80,35,35,38,25,10,0,0,0
WET_P_2_1,WET_P,WET_W_2_2,The tri,6.8,50,35,90,45,14,33,35,0,0,0,0
DRY_W_2_1,DRY_W,WET_W_2_3,The tri,7.0,45,39,,,,,39,0,0,0,0
DRY_P_2_1,DRY_P,WET_W_2_4,The tri,5.7,55,51,20,0,11,34,51,2,0,0,0
WET_W_2_5,WET_W,WET_W_2_5,The tri,7.6,65,65,80,2,69,62,65,0,0,0,0
WET_W_4_1,WET_W,WET_W_3_1,The tri,5.5,60,30,75,20,25,81,30,0,0,0,0
WET_P_4_1,WET_P,WET_W_3_2,The tri,5.5,45,40,90,0,42,59,40,0,0,0,0
DRY_W_3_1,DRY_W,WET_W_3_3,The tri,6.0,70,55,25,0,3,4,55,0,0,0,0
DRY_P_3_1,DRY_P,WET_W_3_4,The tri,5.5,80,74,95,5,38,46,74,0,0,0,0
WET_W_3_5,WET_W,WET_W_3_5,The tri,5.2,50,40,95,92,24,21,40,0,0,0,0
WET_W_3_1,WET_W,WET_W_4_1,The tri,6.0,70,40,45,15,13,30,40,0,0,0,0
WET_P_4_3,WET_P,WET_W_4_2,The tri,,35,20,90,0,56,54,20,5,0,0,0
DRY_W_4_1,DRY_W,WET_W_4_3,The tri,4.0,50,40,49,15,5,7,40,0,0,0,0
DRY_P_4_1,DRY_P,WET_W_4_4,The tri,6.0,40,35,75,0,34,45,35,0,0,0,0
WET_W_4_5,WET_W,WET_W_4_5,The tri,6.0,45,42,85,55,63,88,42,0,0,0,0
